x y color marker name
-0.047901644669629345 -0.01769894468664421 green o Lh01
-0.07065028982538635 -0.12098684324767996 green o Lh02
-0.0785055914572146 -0.1457014998293853 green o Lh03
-0.07310832445284053 -0.12928281339426964 green o Lh04
-0.0676344670334417 -0.11189993957335512 green o Lh05
-0.055981460216047024 -0.07797052870093182 green o Lh06
-0.07657811106921188 -0.13973833260637092 green o Lh07
-0.0661257499664323 -0.10716114355592869 green o Lh08
-0.07231328931850114 -0.1262190636393495 green o Lh09
-0.0767577288646232 -0.14035802124796423 green o Lh10
0.1482245501301944 0.02203438743698048 red ^ Ll01
-0.09689448372808394 0.1343246674496468 blue s Ll03
0.2084281661724384 0.04137641469367973 red ^ Ll04
-0.06335084622944202 -0.09900815589975022 green o Ll05
0.19160003580026247 0.035847238191131545 red ^ Ll06
0.16243866677938013 0.02592215092999839 red ^ Ll07
-0.05185274022531321 0.006241478729521037 green o Ll08
-0.08267207846360285 0.09311358698806599 blue s Ll09
-0.07861577181963661 -0.14604022381129453 green o Ll10
0.0797421429256373 0.0022863995865428344 red ^ Lm01
-0.10926153757872895 0.17125611686897918 blue s Lm02
0.20792688946563537 0.04121030825482424 red ^ Lm03
-0.13378356687665455 0.2458798191764336 blue s Lm04
0.06593994680167123 -0.001714181956281119 red ^ Lm05
-0.13359958105015624 0.24531512036699038 blue s Lm06
-0.0238720757620863 -0.025138544787892948 green o Lm07
-0.038991977305795227 -0.029788471070480053 green o Lm08
-0.05971956651292917 -0.08905857551086674 green o Lm09
-0.07838209676190633 -0.14534513402601543 green o Lm10
0.05087512179709656 -0.00566014906043632 red ^ S01
0.20344419468938707 0.03973122693342179 red ^ S02
-0.1335995810501562 0.2453151203669904 blue s S03
0.16005442941558407 0.02526723506473185 red ^ S04
-0.13085740860608974 0.23693459573650885 blue s S05
0.15810948753330722 0.024907207687115154 red ^ S06
-0.03585949096974801 -0.0210579677180312 green o S07
0.16240853481226558 0.026366102324092387 red ^ S08
-0.043033320591294916 -0.04107547351416793 green o S09
0.1617125019977194 0.025751177970016904 red ^ S10
